account_id,amount_donated_2013,amount_donated_lifetime,no_donations_lifetime,label,no_seats_tickets,price_level_tickets,no_seats_subs,price_level_subs,subscription_tier_subs,years_since_2013,zip_reduced,zip_matched
001i000000LhSrQ,0.0,0.0,0,0,,,,,,,94,2
001i000000LhyPH,0.0,0.0,0,1,,,218.0,0.0,1.0,,94,2
001i000000LhyPI,1000.0,11913.0,20,1,,,237.0,0.0,1.0,22.0,94,2
001i000000LhyPS,300.0,2570.0,15,1,,,161.0,1.0,1.0,16.0,94,2
001i000000LhyPT,500.0,5929.0,26,0,,,233.0,5.0,1.0,24.0,94,2
001i000000LhyPU,100.0,5746.0,32,1,,,269.0,5.0,1.0,19.0,94,2
001i000000LhyPZ,50.0,1339.0,31,1,,,172.0,3.0,2.0,22.0,94,2
001i000000LhyPd,300.0,23287.54,31,1,276.0,6.0,237.0,5.0,0.0,26.0,94,2
001i000000LhyPi,100.0,2931.0,23,1,,,237.0,5.0,1.0,19.0,94,2
001i000000LhyPj,0.0,0.0,0,0,46.0,3.0,86.0,1.0,0.0,,94,2
001i000000LhyPl,2000.0,11415.0,28,1,,,237.0,0.0,1.0,21.0,94,2
001i000000LhyPp,0.0,283.0,10,1,,,233.0,3.0,1.0,16.0,94,2
001i000000LhyPv,18694.02,44022.27,18,1,,,86.0,1.0,1.0,2.0,94,2
001i000000LhyPw,200.0,2550.0,28,1,,,229.0,2.0,0.0,16.0,94,2
001i000000LhyPx,0.0,30.0,1,0,,,249.0,0.0,4.0,0.0,94,2
001i000000LhyPy,0.0,379.32,6,1,,,217.0,1.0,1.0,13.0,94,2
001i000000LhyPz,0.0,141.68,2,1,,,221.0,2.0,0.0,5.0,94,2
001i000000LhyQ8,1500.0,40868.0,32,1,,,249.0,0.0,1.0,25.0,94,2
001i000000LhyQA,0.0,100.0,2,1,,,210.0,0.0,1.0,8.0,95,2
001i000000LhyQB,0.0,5621.0,18,1,,,229.0,1.0,1.0,16.0,94,2
001i000000LhyQH,600.0,4400.0,14,1,,,221.0,1.0,1.0,12.0,94,2
001i000000LhyQJ,0.0,8752.0,19,1,,,237.0,0.0,1.0,23.0,94,2
001i000000LhyQK,19700.0,122842.66,53,1,,,451.0,5.0,3.0,25.0,94,2
001i000000LhyQL,0.0,134.0,2,1,,,235.0,0.0,0.0,18.0,94,2
001i000000LhyQM,1150.0,4380.0,12,1,,,217.0,0.0,0.0,8.0,94,2
001i000000LhyQO,0.0,150.0,2,1,28.0,3.0,142.0,1.0,0.0,1.0,95,2
001i000000LhyQP,500.0,2925.0,19,1,,,275.0,5.0,1.0,25.0,94,2
001i000000LhyQR,300.0,3456.0,19,1,,,231.0,5.0,1.0,18.0,94,2
001i000000LhyQT,0.0,0.0,0,1,,,231.0,2.0,1.0,,94,2
001i000000LhyQV,0.0,5202.66,19,1,,,222.0,0.0,0.0,25.0,94,2
001i000000LhyQW,0.0,450.0,2,0,,,206.0,0.0,1.0,2.0,94,2
001i000000LhyQb,1500.0,8150.0,10,1,,,208.0,0.0,0.0,5.0,94,2
001i000000LhyQd,700.0,2660.0,10,1,,,216.0,5.0,1.0,6.0,94,2
001i000000LhyQf,0.0,7342.0,38,1,,,237.0,0.0,1.0,27.0,94,2
001i000000LhyQi,750.0,7419.32,28,1,,,237.0,5.0,1.0,25.0,94,2
001i000000LhyQj,300.0,4374.0,13,1,64.0,0.0,214.0,5.0,1.0,8.0,94,2
001i000000LhyQk,100.0,2358.0,29,1,,,284.0,0.0,0.0,24.0,94,2
001i000000LhyQm,200.0,3737.0,24,1,,,237.0,1.0,1.0,19.0,94,2
001i000000LhyQn,0.0,4285.0,22,1,,,237.0,1.0,1.0,24.0,94,2
001i000000LhyQt,0.0,2181.0,19,1,,,237.0,5.0,1.0,19.0,94,2
001i000000LhyQz,0.0,60.0,1,0,,,40.0,5.0,0.0,25.0,94,2
001i000000LhyR0,300.0,6861.32,24,1,,,233.0,0.0,1.0,18.0,95,2
001i000000LhyR2,500.0,16746.0,20,1,,,253.0,0.0,1.0,25.0,94,2
001i000000LhyR3,100.0,4161.0,19,0,28.0,3.0,183.0,0.0,0.0,17.0,95,2
001i000000LhyR6,200.0,3520.0,21,1,,,246.0,0.0,1.0,19.0,94,2
001i000000LhyRA,200.0,31545.0,15,1,,,263.0,2.0,1.0,24.0,94,2
001i000000LhyRH,300.0,2130.0,17,1,,,215.0,0.0,0.0,11.0,94,2
001i000000LhyRM,606.15,7912.35,25,1,,,229.0,0.0,1.0,17.0,94,2
001i000000LhyRS,100.0,3578.0,30,1,,,243.0,0.0,0.0,24.0,94,2
001i000000LhyRZ,0.0,0.0,0,0,,,110.0,2.0,0.0,,94,2
001i000000LhyRm,0.0,225.0,5,1,64.0,2.0,156.0,2.0,0.0,19.0,94,2
001i000000LhyRo,250.0,5755.0,23,1,,,224.0,5.0,1.0,14.0,94,2
001i000000LhyRp,600.0,10831.66,41,1,,,237.0,5.0,1.0,28.0,94,2
001i000000LhyRr,250.0,4515.32,23,1,,,237.0,1.0,1.0,19.0,94,2
001i000000LhyRv,0.0,0.0,0,0,,,86.0,1.0,1.0,,94,2
001i000000LhyRx,1000.0,18300.0,7,1,,,80.0,0.0,1.0,3.0,94,2
001i000000LhyRy,1600.0,8134.0,24,1,56.0,3.0,223.0,0.0,0.0,11.0,94,2
001i000000LhyRz,72.0,4873.0,20,1,,,225.0,0.0,1.0,13.0,94,2
001i000000LhyS0,0.0,0.0,0,0,184.0,4.0,149.0,0.0,0.0,,94,2
001i000000LhyS1,11736.67,326520.36,36,1,,,191.0,5.0,1.0,28.0,94,2
001i000000LhyS2,1250.0,2250.0,6,1,,,142.0,5.0,1.0,2.0,94,2
001i000000LhyS5,0.0,2451.66,19,1,,,237.0,1.0,1.0,19.0,94,2
001i000000LhySE,0.0,5985.0,23,1,,,237.0,0.0,0.0,18.0,94,2
001i000000LhySF,0.0,444.0,4,1,,,237.0,5.0,1.0,19.0,94,2
001i000000LhySH,550.0,6969.0,41,1,,,237.0,0.0,1.0,22.0,94,2
001i000000LhySL,600.0,3248.0,20,1,,,225.0,1.0,1.0,14.0,94,2
001i000000LhySM,950.0,14059.66,41,1,48.0,2.0,237.0,5.0,1.0,25.0,94,2
001i000000LhySN,150.0,1525.0,11,1,,,154.0,0.0,0.0,9.0,94,2
001i000000LhySO,300.0,5550.0,23,1,,,237.0,0.0,1.0,23.0,94,2
001i000000LhySP,360.0,2635.36,14,1,,,146.0,1.0,1.0,13.0,94,2
001i000000LhySR,100.0,3034.0,14,1,,,237.0,0.0,1.0,15.0,94,2
001i000000LhySS,0.0,808.0,10,1,,,223.0,0.0,0.0,15.0,94,2
001i000000LhyST,0.0,238.0,3,0,,,214.0,2.0,0.0,28.0,94,2
001i000000LhySU,300.0,6399.7,26,1,,,232.0,5.0,1.0,27.0,94,2
001i000000LhySX,300.0,900.0,3,1,,,208.0,2.0,1.0,1.0,94,2
001i000000LhySY,0.0,3943.66,21,1,,,235.0,5.0,1.0,19.0,94,2
001i000000LhySb,0.0,2872.0,11,1,,,237.0,5.0,1.0,25.0,94,2
001i000000LhySm,400.0,7296.66,16,1,,,219.0,5.0,0.0,11.0,93,2
001i000000LhySp,300.0,5321.0,18,1,,,237.0,3.0,1.0,15.0,94,2
001i000000LhySz,150.0,1405.0,18,1,,,218.0,5.0,0.0,10.0,94,2
001i000000LhyT0,0.0,275.0,3,1,,,237.0,5.0,1.0,22.0,94,2
001i000000LhyT2,0.0,2250.0,14,1,,,237.0,1.0,1.0,28.0,94,2
001i000000LhyT7,150.0,3950.0,25,1,,,173.0,5.0,0.0,22.0,94,2
001i000000LhyTE,13000.0,83053.32,13,1,,,86.0,5.0,1.0,1.0,94,2
001i000000LhyTF,0.0,10324.0,33,1,,,237.0,0.0,1.0,25.0,94,2
001i000000LhyTH,11000.0,176602.0,51,1,,,231.0,5.0,1.0,17.0,94,2
